State,bcr,Stratum,Year,Partner,Area,LongStratum,Planned,Completed
UT,16,UT-BCR16-FL,2022,IBO,6670,UT-BCR16-FL: Fishlake National Forest,8,8
UT,16,UT-BCR16-GS,2022,IBO,7564,UT-BCR16-GS: Bureau of Land Management - Grand Staircase-Escalante National Monument,3,3
UT,16,UT-BCR16-KA,2022,IBO,2267,UT-BCR16-KA: Bureau of Land Management - Kanab Field Office,4,4
UT,16,UT-BCR16-MA,2022,IBO,5280,UT-BCR16-MA: Manti-La Sal National Forest,9,9
UT,16,UT-BCR16-MN,2022,IBO,7321,UT-BCR16-MN: Bureau of Land Management - Monticello Field Office,3,3
UT,16,UT-BCR16-MO,2022,BCR,7725,UT-BCR16-MO: Bureau of Land Management - Moab Field Office,3,3
UT,16,UT-BCR16-PR,2022,IBO,10216,UT-BCR16-PR: Bureau of Land Management - Price Field Office,3,3
UT,16,UT-BCR16-RI,2022,IBO,8068,UT-BCR16-RI: Bureau of Land Management - Richfield Field Office,3,3
UT,16,UT-BCR16-SA,2022,IBO,307,UT-BCR16-SA: Manti-La Sal National Forest - Sanpitch,3,3
UT,16,UT-BCR16-SG,2022,IBO,1904,UT-BCR16-SG: Bureau of Land Management - Saint George Field Office,2,2
UT,16,UT-BCR16-SL,2022,BCR,87,UT-BCR16-SL: Bureau of Land Management - Salt Lake Field Office,2,2
UT,16,UT-BCR16-VE,2022,BCR,6612,UT-BCR16-VE: Bureau of Land Management - Vernal Field Office,4,4
UT,16,UT-BCR16-VE,2022,BCR,6704,UT-BCR16-VE: Bureau of Land Management - Vernal Field Office,4,4
UT,16,UT-BCR16-WA,2022,BCR,9913,UT-BCR16-WA: Uinta-Wasatch-Cache National Forest,3,3
UT,33,UT-BCR33-AO,2022,UDWR,65,UT-BCR33-AO: All Other Lands,15,15
UT,33,UT-BCR33-SG,2022,IBO,388,UT-BCR33-SG: Bureau of Land Management - Saint George Field Office,2,2
WY,9,WY-BCR9-WY,2022,BCR,119,WY-BCR9-WY: Caribou-Targhee National Forest,2,2
WY,10,WY-BCR10-AO,2022,BCR,52161,WY-BCR10-AO: All Other Lands,15,15
WY,10,WY-BCR10-AS,2022,BCR,540,WY-BCR10-AS: Ashley National Forest,2,2
WY,10,WY-BCR10-BE,2022,BCR,3034,WY-BCR10-BE: Bridger-Teton National Forest - Roaded/Managed,7,7
WY,10,WY-BCR10-BH,2022,BCR,57,WY-BCR10-BH: Bighorn Canyon National Recreation Area,2,2
WY,10,WY-BCR10-BI,2022,WYNDD,4712,WY-BCR10-BI: Bighorn National Forest,3,3
WY,10,WY-BCR10-BR,2022,BCR,11364,WY-BCR10-BR: Bridger-Teton National Forest - Roadless/Wilderness,2,2
WY,10,WY-BCR10-BU,2022,BCR,547,WY-BCR10-BU: Bureau of Land Management - Buffalo Field Office,2,2
WY,10,WY-BCR10-CA,2022,BCR,2509,WY-BCR10-CA: Bureau of Land Management - Casper Field Office,3,3
